uid,user_name,fans_count,friend_count,topic_focus_count,agree_count,views_count,reputation,flagged
180,见得多了,3,2,6,9,332,3.4,0
182,ch_ibf,7,0,0,0,82,0,0
183,xrff,6,0,0,0,63,0,0
184,vxdrrrrrrrr,7,0,0,1,199,0,0
185,Nemomo,7,0,0,0,65,0,0
186,我也不知道,7,0,0,0,62,0,0
187,Tzekun,9,0,16,0,105,0,0
188,Armin,6,1,1,0,76,0,0
189,UltraHentai,9,0,2,70,430,15.7862,0
190,Vivian,7,0,0,0,66,0,0
191,西岐老友,7,0,0,2,212,1,0
192,losingHair,8,0,4,0,68,0,0
193,kkoda,0,4,1,-3,330,-5,1
194,江万福,7,0,0,4,239,2,0
199,shako,7,0,0,0,61,0,0
196,Orion,6,6,11,362,724,43.874,0
198,花蛇,7,0,0,0,59,0,0
197,ScarlettX,7,0,0,0,68,0,0
200,soujistar,6,3,1,134,738,29.7,0
201,Pining,5,0,2,0,63,0,0
202,一,7,2,0,13,262,2.1,0
205,huashi,5,0,0,0,83,0,0
203,alkvi,7,1,0,1,196,0,0
204,lightblue,2,6,5,21,376,7,0
206,mask,8,0,12,0,71,0,0
207,purdue,6,0,0,11,259,3.97118,0
209,gordonzxr,8,0,0,22,213,2.7,0
210,令狐冲,338,50,12,1274,2365,444.883,0
211,Ano,8,0,0,0,66,0,0
212,Wangtora,3,0,0,133,628,30.6712,0
213,datuda,7,1,5,0,74,0,0
214,Lucky_Star,5,6,9,187,681,53.345,0
215,Minions,7,0,0,2,91,0,0
216,一只鹿兒,801,50,12,3029,9689,994.607,0
217,kknd2018,6,1,0,0,68,0,0
218,old_user,2,0,0,5,237,1,0
219,膜膜胡胡的包子,11,0,0,114,415,34.3238,0
220,nixx,5,0,1,0,69,0,0
221,端,5,0,0,0,70,0,0
222,为什么要抓我,7,1,6,4,256,2,0
223,missfugue,6,0,0,0,66,0,0
224,Pocoto,6,0,1,0,70,0,0
225,左腿,7,0,18,0,77,0,0
226,weirdo,7,0,0,10,231,3,0
227,zxcm,5,0,4,0,78,0,0
228,redMagic,7,0,1,0,66,0,0
229,国服我服不服,12,8,1,215,880,64.91,0
230,GOUManKaai,7,0,0,0,67,0,0
231,无人等候,5,1,0,0,70,0,0
232,饿肚的蒸汁银鱼,6,5,9,87,632,21.0181,0
233,品章丘大葱,6,0,0,0,76,0,0
234,庆丰皇帝,5,0,0,0,76,0,0
235,hope,5,0,0,0,68,0,0
236,Umpire,5,0,3,0,104,0,0
237,La,6,1,0,0,80,0,0
238,初音未来,9,0,1,4,208,2,0
239,警长,7,0,1,0,69,0,0
240,五毛代表,7,0,0,0,71,0,0
241,小坑社会,6,0,0,0,113,0,0
248,bj,6,0,1,0,65,0,0
242,黄四郎,5,0,0,0,66,0,0
256,Billyxxb,4,0,1,0,76,0,0
243,crockdier,6,0,1,0,69,0,0
244,明日世界,5,0,3,0,69,0,0
245,Carlie,4,32,0,337,902,56.3539,0
246,现实魔王,6,0,0,1,182,1,0
247,bbsoctopus,5,0,0,0,66,0,0
249,hc553039,0,1,8,0,72,0,0
250,erixon,5,0,0,50,343,5.1,0
251,protonaccount,7,3,14,1,290,0,0
252,hh12389太陽王,13,111,17,63,1038,15.18,0
253,279工程,6,1,0,0,134,0,0
292,fuckme,7,0,0,0,69,0,0
254,tianya,6,0,0,0,70,0,0
255,Alcard,2,0,0,2,128,0,0
277,halal_memes,7,0,2,0,76,0,0
257,kuaijisx,6,0,1,0,61,0,0
258,吃面,6,0,2,0,59,0,0
259,Teddybear,4,0,2,56,387,14.05,0
261,gandalf,6,0,0,0,65,0,0
260,OMFG,8,1,3,4,175,1,0
262,amw67,6,1,9,0,62,0,0
264,sakuya,7,0,0,0,156,0,0
263,习近平总书记,11,0,0,2,359,0,1
268,破站药丸,7,1,3,9,271,1,0
265,2ndnewpincong,7,0,0,0,65,0,0
266,电子羊,0,9,0,9,263,0.8,0
267,秃头披风侠,6,0,3,0,63,0,0
269,iahznomis,6,0,0,0,81,0,0
270,cly1976,5,1,0,0,131,0,0
311,thesun,6,0,0,0,78,0,0
271,币圈奇葩8964,45,11,0,1679,3880,328.944,0
272,郑南榕,6,0,0,0,118,0,0
273,suni,6,0,0,0,64,0,0
274,裸奔,7,0,6,0,65,0,0
275,chobe,43,0,5,1231,2854,397.367,0
276,匹夫和大树,8,3,5,19,235,4.035,0
278,Excited301,7,0,0,4,97,0.4,0
279,中华民国,11,5,0,111,617,29,0
280,飞度,7,0,0,0,60,0,0
349,tripolis,6,0,4,40,198,3,0
281,雪之下雪乃,6,0,0,0,186,0,0
282,ckchina,7,0,3,0,78,0,0
283,qydm,6,0,0,0,68,0,0
284,张三,7,2,0,0,72,0,0
285,Taikatalvi,6,0,0,0,60,0,0
286,啦啦啦821,7,0,0,0,61,0,0
287,马克思主义者,6,0,0,-3,726,3,0
288,dud,6,0,0,0,58,0,0
289,mkoko9716,7,0,2,0,56,0,0
290,feni03,3,6,8,149,612,42.3,0
291,普习金,7,10,0,307,911,91.73,0
293,dd,7,0,8,0,74,0,0
294,Plutoness,8,0,0,0,57,0,0
295,alao,7,0,0,0,55,0,0
296,nanxhe,5,0,0,0,70,0,0
297,博丽灵梦,6,0,0,0,63,0,0
298,苞皇,10,2,3,21,327,6.1,0
299,支持品葱,9,0,4,264,771,32.305,0
300,厨师a的擦力,8,0,0,11,193,2.2,0
301,没的说,6,0,0,0,65,0,0
302,ATP,8,0,0,0,66,0,0
303,科学补习所,9,0,0,17,232,1.25,0
304,vice,7,0,0,0,60,0,0
305,生生不息,7,0,1,0,56,0,0
306,longzml,6,0,2,0,76,0,0
307,IKARISHINJI,8,0,5,13,208,2.2,0
345,ei,0,4,0,0,97,0,0
308,fzf897911383,7,0,0,0,59,0,0
309,mailzmh,7,0,1,0,54,0,0
310,daizir,7,0,0,0,62,0,0
312,Cisco,7,0,18,0,75,0,0
313,厨师的厨师,8,0,0,6,213,3,0
314,zjjdyx,6,0,6,0,81,0,0
315,wazsd,7,0,15,0,74,0,0
316,appleegg,7,0,0,0,60,0,0
317,kkystry,7,0,0,0,65,0,0
318,梁家河举重员,7,0,5,0,65,0,0
319,moinpc,6,0,0,0,67,0,0
320,teRnuTwASc,6,0,0,0,74,0,0
321,巴布里,7,0,0,0,178,0,0
322,zero,5,0,0,0,62,0,0
323,便乘随想,10,0,0,9,383,4,0
324,sdj52h,6,0,2,0,56,0,0
325,sowhatmelon,7,0,0,0,62,0,0
326,youkita,5,0,0,0,59,0,0
327,思考快与慢,1,1,0,54,369,7.5,0
328,10451sd,7,0,0,0,60,0,0
329,xgllkwz,4,0,0,0,66,0,0
330,vj091shu,6,0,0,0,59,0,0
331,Justaname,5,0,1,0,66,0,0
332,逐熵逆,6,0,0,0,63,0,0
333,ErrOrWind,5,0,0,0,91,0,0
334,FortAble,1,6,12,131,455,7.65711,0
335,anotherbear,4,0,0,0,63,0,0
337,pincong1984,6,0,0,0,57,0,0
336,arakawanippori,7,0,0,0,73,0,0
338,ramillusion,7,0,0,0,69,0,0
339,RabbitKnight,6,0,2,0,80,0,0
340,谈笑风生,4,0,0,2,189,0,0
341,guowengui1990,7,0,1,0,64,0,0
342,Seele,8,0,4,3,182,2,0
343,一个刁民,7,0,1,0,72,0,0
344,姜泽蛤,9,0,0,-9,438,-9,0
346,miku,6,0,0,0,74,0,0
348,shuye,6,0,22,0,70,0,0
347,習近平,6,0,0,5,260,1.1,0
382,100cents,6,0,14,-3,228,-2,0
350,sussie,6,0,0,0,92,0,0
351,黄正宇,6,0,0,0,75,0,0
352,红四姐,6,0,0,0,295,0,0
353,chinacr7,4,1,3,0,68,0,0
354,bugaosuni,6,0,0,0,68,0,0
355,Nice,5,0,1,0,65,0,0
356,ivanfly,5,0,1,0,66,0,0
357,KONOKUNI,5,0,0,306,549,62.1954,0
358,kadakyo,6,0,0,0,66,0,0
359,习大大,6,0,0,0,161,0,0
360,她们红绿灯,8,0,17,0,69,0,0
361,matlabpascal,6,0,0,0,66,0,0
362,jaderlin,5,0,0,0,68,0,0
363,hhotpot,7,0,0,0,87,0,0
365,neko,6,0,0,0,66,0,0
364,KeepTheFaith,7,0,0,0,77,0,0
366,meeksure,7,0,62,0,83,0,0
367,Hnz,6,0,0,0,71,0,0
368,qwerty,7,0,0,12,85,0,0
369,空空道人,8,1,0,87,316,8.5,0
370,Control,6,0,0,0,57,0,0
371,杨超越,6,0,6,0,189,0,0
372,coke,6,0,0,0,85,0,0
373,Michaela,7,0,0,0,63,0,0
374,anderson,7,0,0,0,60,0,0
379,葱花饼,6,0,0,0,61,0,0
378,paperheart,5,0,3,0,67,0,0
375,Zihuatanejo,5,0,22,0,79,0,0
376,pallasscat,7,0,0,2,162,0,0
377,田所浩二,4,2,0,33,479,9.2,0
380,我死了,41,20,35,315,3205,105.316,0
381,wmxl,6,0,6,0,69,0,0
388,101cents,4,0,0,0,67,0,0
383,Shell,5,0,1,0,59,0,0
384,bunji2road,6,0,3,0,92,0,0
385,coolestmaple,7,0,5,0,65,0,0
386,minna79,5,0,2,0,65,0,0
387,李华,6,0,0,0,62,0,0
389,vivid,7,0,0,0,62,0,0
390,doob,7,0,0,0,64,0,0
391,慕名,4,0,0,0,68,0,0
392,wkinwa87,5,0,0,0,63,0,0
393,thewhitehouse,10,0,26,222,743,48.19,0
394,Thomas,5,0,0,0,78,0,0
395,3rdImpact,7,0,0,1,214,2,0
396,我是一棵葱,5,0,0,0,69,0,0
397,民主斗士6688,7,0,5,0,108,0,0
403,浮萍,6,0,2,0,63,0,0
431,lvyrsf,6,0,0,0,67,0,0
398,Unterschrift,6,0,0,0,97,0,0
430,YouNeverKnowMe,5,0,7,7,155,0.108713,0
399,传授经验的长者,4,0,0,159,492,26.93,0
400,正中,9,0,0,2,181,0,0
401,Boson,5,0,1,0,62,0,0
441,白萝卜,0,0,0,0,181,0,0
402,xinghuaban,7,0,0,0,66,0,0
404,abc123,8,0,0,0,65,0,0
405,候军军,4,0,14,114,677,16.7766,0
406,saidorsi,6,0,0,0,62,0,0
424,Noomy,7,0,2,33,293,4.925,0
407,pipas505,6,0,2,8,286,4,0
408,lance,7,0,0,0,63,0,0
409,MF,6,0,2,0,67,0,0
410,iamback,8,0,2,18,247,4.1,0
411,ikiidjghdks,5,0,0,0,63,0,0
412,yutou007,5,0,2,0,62,0,0
413,sktzkp,5,0,0,0,58,0,0
443,我在因我思,5,0,0,65,268,3.91,0
414,罗斯巴德,8,0,1,95,779,43.6452,0
415,tMdCapital,8,1,6,0,72,0,0
416,陈浩蓝,6,0,9,0,156,0,0
417,Guesswat,5,0,0,0,69,0,0
418,killreddragon,45,1,1,3647,4943,616.014,0
439,小激动居改,3,0,0,0,64,0,0
419,niubility,13,6,8,2274,1727,235.063,0
421,青葱999,5,0,0,0,77,0,0
420,呵呵哒,1,2,38,3,177,0.2,0
422,會計師,4,6,37,60,531,14.23,0
423,xxhh,5,0,1,0,61,0,0
444,txng,5,0,0,0,67,0,0
425,FapCraft,6,0,1,-6,324,-3,0
426,这使我感到恶心,5,0,1,0,135,0,0
427,afnset,5,0,2,737,1135,115.592,0
428,ksderf666,5,0,2,0,173,0,0
429,Momomomo,7,0,0,0,58,0,0
436,barakamon,8,0,58,0,74,0,0
432,deathday,7,0,1,0,65,0,0
433,插葱装象,7,0,25,0,68,0,0
434,cybort,8,0,3,0,65,0,0
435,谈笑风生1926,5,0,4,0,69,0,0
437,DongXiansen,1,1,8,67,512,21.1588,0
438,dick000,7,0,1,0,135,0,0
440,不勝寒蟬,8,5,0,16,390,4,0
442,Sbdksnfksnskz,4,0,0,0,55,0,0
689,francis,5,0,0,0,81,0,0
453,不是品葱,7,0,0,0,63,0,0
445,品虫,5,0,3,0,61,0,0
446,thiebdienne,5,0,0,0,60,0,0
447,canissmajor,6,0,0,0,61,0,0
448,spicecadet,5,0,3,0,168,0,0
449,红冬里的青鱼,107,0,3,2693,2778,523.974,0
450,jiucaimiao,7,0,0,52,206,2.245,0
451,反共,6,0,0,1,192,0,0
452,abcdgwy,4,0,0,0,60,0,0
461,WinnieThePooh,1,2,0,102,446,19.2044,0
454,johnchansdu,5,0,0,0,56,0,0
455,redBull,4,1,4,27,308,16,0
456,帆刈叶,9,0,6,70,395,37.4,0
2628,裴多菲会员,5,0,0,0,43,0,0
457,copyright,1,1,0,209,356,29.3916,0
458,Fatass,4,0,0,0,60,0,0
459,pincong,6,1,1,0,228,0,0
460,禅者,4,0,3,0,58,0,0
